PC_Timestamp,ECG
2026-06-18 12:43:01.336375,34.08
2026-06-18 12:43:01.350817,31.92
2026-06-18 12:43:01.353790,29.77
2026-06-18 12:43:01.366104,29.62
2026-06-18 12:43:01.369470,27.48
2026-06-18 12:43:01.382138,22.37
2026-06-18 12:43:01.389381,12.31
2026-06-18 12:43:01.397379,5.28
2026-06-18 12:43:01.404378,0.28
2026-06-18 12:43:01.411903,-2.7
2026-06-18 12:43:01.417324,-8.66
2026-06-18 12:43:01.427667,-7.62
2026-06-18 12:43:01.434197,-4.6
2026-06-18 12:43:01.443837,0.4
2026-06-18 12:43:01.452758,1.39
2026-06-18 12:43:01.456885,1.39
2026-06-18 12:43:01.467369,4.36
2026-06-18 12:43:01.469410,10.31
2026-06-18 12:43:01.483299,11.25
2026-06-18 12:43:01.491439,7.22
2026-06-18 12:43:01.499480,6.19
2026-06-18 12:43:01.507476,10.14
2026-06-18 12:43:01.515483,17.05
2026-06-18 12:43:01.517291,25.92
2026-06-18 12:43:01.529304,32.76
2026-06-18 12:43:01.534268,35.58
2026-06-18 12:43:01.545333,39.38
2026-06-18 12:43:01.553960,37.19
2026-06-18 12:43:01.561981,37.01
2026-06-18 12:43:01.570408,32.84
2026-06-18 12:43:01.577733,29.69
2026-06-18 12:43:01.584934,24.57
2026-06-18 12:43:01.591364,18.48
2026-06-18 12:43:01.601139,18.38
2026-06-18 12:43:01.601139,14.31
2026-06-18 12:43:01.616523,9.26
2026-06-18 12:43:01.618050,3.25
2026-06-18 12:43:01.632131,-0.75
2026-06-18 12:43:01.634638,-5.72
2026-06-18 12:43:01.646848,-12.66
2026-06-18 12:43:01.651099,-16.57
2026-06-18 12:43:01.662614,-20.47
2026-06-18 12:43:01.670073,-20.37
2026-06-18 12:43:01.677740,-16.28
2026-06-18 12:43:01.687198,-10.23
2026-06-18 12:43:01.694656,-4.21
2026-06-18 12:43:01.702661,0.78
2026-06-18 12:43:01.710659,2.77
2026-06-18 12:43:01.718199,3.75
2026-06-18 12:43:01.725191,1.74
2026-06-18 12:43:01.733381,-1.25
2026-06-18 12:43:01.741211,-10.2
2026-06-18 12:43:01.749744,-11.14
2026-06-18 12:43:01.755998,-11.09
2026-06-18 12:43:01.763761,-13.02
2026-06-18 12:43:01.769886,-21.91
2026-06-18 12:43:01.779038,-23.79
2026-06-18 12:43:01.785038,-29.64
2026-06-18 12:43:01.795269,-29.5
2026-06-18 12:43:01.804002,-31.34
2026-06-18 12:43:01.811979,-31.18
2026-06-18 12:43:01.819008,-31.03
2026-06-18 12:43:01.825978,-32.86
2026-06-18 12:43:01.834812,-32.7
2026-06-18 12:43:01.834812,-30.54
2026-06-18 12:43:01.851062,-26.41
2026-06-18 12:43:01.853077,-24.29
2026-06-18 12:43:01.866580,-24.17
2026-06-18 12:43:01.874539,-22.06
2026-06-18 12:43:01.882112,-22.94
2026-06-18 12:43:01.884603,-22.83
2026-06-18 12:43:01.896427,-20.72
2026-06-18 12:43:01.904751,-15.64
2026-06-18 12:43:01.912545,-11.59
2026-06-18 12:43:01.917657,-14.51
2026-06-18 12:43:01.927443,-15.43
2026-06-18 12:43:01.936754,-14.36
2026-06-18 12:43:01.944815,-16.28
2026-06-18 12:43:01.952268,-13.21
2026-06-18 12:43:01.952268,-15.14
2026-06-18 12:43:01.967405,-15.06
2026-06-18 12:43:01.970236,-11.01
2026-06-18 12:43:01.984104,-0.01
2026-06-18 12:43:01.991671,16.91
2026-06-18 12:43:01.999668,37.72
2026-06-18 12:43:02.006886,43.5
2026-06-18 12:43:02.014903,23.38
2026-06-18 12:43:02.022460,-10.56
2026-06-18 12:43:02.029856,-25.44
2026-06-18 12:43:02.038063,-10.38
2026-06-18 12:43:02.045067,21.51
2026-06-18 12:43:02.053998,40.3
2026-06-18 12:43:02.060868,44.08
2026-06-18 12:43:02.069181,38.89
2026-06-18 12:43:02.076025,39.69
2026-06-18 12:43:02.084906,40.48
2026-06-18 12:43:02.084906,42.27
2026-06-18 12:43:02.100896,42.06
2026-06-18 12:43:02.101603,43.84
2026-06-18 12:43:02.116380,39.64
2026-06-18 12:43:02.123693,33.47
2026-06-18 12:43:02.131983,26.34
2026-06-18 12:43:02.138685,19.24
2026-06-18 12:43:02.146295,17.16
2026-06-18 12:43:02.150582,23.04
2026-06-18 12:43:02.162038,24.92
2026-06-18 12:43:02.170481,23.8
2026-06-18 12:43:02.177925,20.69
2026-06-18 12:43:02.186404,23.57
2026-06-18 12:43:02.190391,24.45
2026-06-18 12:43:02.202589,25.32
2026-06-18 12:43:02.210230,26.19
2026-06-18 12:43:02.218240,29.05
2026-06-18 12:43:02.225970,36.86
2026-06-18 12:43:02.234049,45.63
2026-06-18 12:43:02.241582,50.38
2026-06-18 12:43:02.249644,52.12
2026-06-18 12:43:02.256542,52.85
2026-06-18 12:43:02.265304,52.59
2026-06-18 12:43:02.272591,46.35
2026-06-18 12:43:02.280429,35.18
2026-06-18 12:43:02.288427,18.09
2026-06-18 12:43:02.296428,9.04
2026-06-18 12:43:02.300925,0.04
2026-06-18 12:43:02.311111,-6.92
2026-06-18 12:43:02.319712,-10.87
2026-06-18 12:43:02.323712,-12.8
2026-06-18 12:43:02.334752,-14.73
2026-06-18 12:43:02.341675,-13.66
2026-06-18 12:43:02.351233,-10.61
2026-06-18 12:43:02.351233,-7.57
2026-06-18 12:43:02.366376,-8.53
2026-06-18 12:43:02.372827,-15.45
2026-06-18 12:43:02.381873,-19.35
2026-06-18 12:43:02.384886,-16.27
2026-06-18 12:43:02.396361,-9.22
2026-06-18 12:43:02.401566,-7.19
2026-06-18 12:43:02.411953,-10.14
2026-06-18 12:43:02.417721,-12.08
2026-06-18 12:43:02.428112,-10.03
2026-06-18 12:43:02.437028,-6.99
2026-06-18 12:43:02.441045,-5.96
2026-06-18 12:43:02.452517,-4.94
2026-06-18 12:43:02.460515,-6.9
2026-06-18 12:43:02.467904,-5.87
2026-06-18 12:43:02.475421,-2.86
2026-06-18 12:43:02.483426,3.13
2026-06-18 12:43:02.484433,9.08
2026-06-18 12:43:02.499540,14.01
2026-06-18 12:43:02.500880,15.93
2026-06-18 12:43:02.515173,19.83
2026-06-18 12:43:02.517776,21.72
2026-06-18 12:43:02.529293,25.59
2026-06-18 12:43:02.534231,25.46
2026-06-18 12:43:02.544702,32.3
2026-06-18 12:43:02.550974,40.1
