PC_Timestamp,ECG
2026-06-18 11:35:38.064228,-76.53
2026-06-18 11:35:38.067339,-60.23
2026-06-18 11:35:38.067339,-39.03
2026-06-18 11:35:38.084695,-9.98
2026-06-18 11:35:38.084695,1.01
2026-06-18 11:35:38.100566,-29.84
2026-06-18 11:35:38.100566,-67.5
2026-06-18 11:35:38.117578,-84.08
2026-06-18 11:35:38.117578,-74.7
2026-06-18 11:35:38.134290,-92.24
2026-06-18 11:35:38.139426,-106.7
2026-06-18 11:35:38.149925,-82.29
2026-06-18 11:35:38.152560,-21.18
2026-06-18 11:35:38.165647,36.63
2026-06-18 11:35:38.167971,53.37
2026-06-18 11:35:38.167971,33.2
2026-06-18 11:35:38.184663,33.03
2026-06-18 11:35:38.184663,49.78
2026-06-18 11:35:38.203836,78.39
2026-06-18 11:35:38.203836,97.9
2026-06-18 11:35:38.220605,84.47
2026-06-18 11:35:38.228653,45.25
2026-06-18 11:35:38.235615,1.24
2026-06-18 11:35:38.243700,-28.62
2026-06-18 11:35:38.251801,-50.36
2026-06-18 11:35:38.259798,-69.02
2026-06-18 11:35:38.267159,-112.45
2026-06-18 11:35:38.275038,-181.54
2026-06-18 11:35:38.283493,-251.28
2026-06-18 11:35:38.291176,-299.77
2026-06-18 11:35:38.298771,-323.15
2026-06-18 11:35:38.306544,-335.46
2026-06-18 11:35:38.314595,-364.63
2026-06-18 11:35:38.322391,-401.61
2026-06-18 11:35:38.326504,-446.37
2026-06-18 11:35:38.337950,-484.93
2026-06-18 11:35:38.339032,-473.55
2026-06-18 11:35:38.350952,-408.5
2026-06-18 11:35:38.350952,-377.6
2026-06-18 11:35:38.367414,-461.28
2026-06-18 11:35:38.372783,-600.27
2026-06-18 11:35:38.385033,-703.73
2026-06-18 11:35:38.393062,-731.06
2026-06-18 11:35:38.399948,-740.34
2026-06-18 11:35:38.408568,-762.5
2026-06-18 11:35:38.416830,-787.55
2026-06-18 11:35:38.423036,-786.59
2026-06-18 11:35:38.432202,-784.65
2026-06-18 11:35:38.438799,-787.69
2026-06-18 11:35:38.438799,-767.83
2026-06-18 11:35:38.450936,-743.1
2026-06-18 11:35:38.450936,-710.53
2026-06-18 11:35:38.467521,-697.03
2026-06-18 11:35:38.467521,-699.51
2026-06-18 11:35:38.483890,-720.89
2026-06-18 11:35:38.483890,-762.06
2026-06-18 11:35:38.500540,-818.94
2026-06-18 11:35:38.500540,-869.58
2026-06-18 11:35:38.517219,-920.95
2026-06-18 11:35:38.525216,-985.99
2026-06-18 11:35:38.533218,-1057.68
2026-06-18 11:35:38.541215,-1101.14
2026-06-18 11:35:38.548639,-1116.53
2026-06-18 11:35:38.550234,-1136.82
2026-06-18 11:35:38.550234,-1174.92
2026-06-18 11:35:38.566923,-1243.67
2026-06-18 11:35:38.566923,-1287.2
2026-06-18 11:35:38.583698,-1310.61
2026-06-18 11:35:38.583698,-1349.83
2026-06-18 11:35:38.600651,-1420.69
2026-06-18 11:35:38.600651,-1524.03
2026-06-18 11:35:38.617350,-1633.82
2026-06-18 11:35:38.626537,-1710.23
2026-06-18 11:35:38.634104,-1739.49
2026-06-18 11:35:38.638109,-1780.54
2026-06-18 11:35:38.650758,-1851.24
2026-06-18 11:35:38.650758,-1930.54
2026-06-18 11:35:38.665443,-2040.28
2026-06-18 11:35:38.667292,-2178.34
2026-06-18 11:35:38.667292,-2258.98
2026-06-18 11:35:38.683770,-2201.92
2026-06-18 11:35:38.683770,-2099.37
2026-06-18 11:35:38.700524,-2082.9
2026-06-18 11:35:38.700524,-2180.94
2026-06-18 11:35:38.717061,-2222.77
2026-06-18 11:35:38.727688,-2131.07
2026-06-18 11:35:38.736110,-2042.8
2026-06-18 11:35:38.736110,-2029.6
2026-06-18 11:35:38.751793,-2013.48
2026-06-18 11:35:38.759787,-1885.01
2026-06-18 11:35:38.767119,-1737.28
2026-06-18 11:35:38.775196,-1686.8
2026-06-18 11:35:38.783163,-1691.3
2026-06-18 11:35:38.783931,-1621.16
2026-06-18 11:35:38.798718,-1404.1
2026-06-18 11:35:38.800660,-1168.23
2026-06-18 11:35:38.800660,-997.22
2026-06-18 11:35:38.817771,-830.05
2026-06-18 11:35:38.817771,-589.09
2026-06-18 11:35:38.837114,-343.36
2026-06-18 11:35:38.837114,-159.56
2026-06-18 11:35:38.850721,-43.34
2026-06-18 11:35:38.850721,58.36
2026-06-18 11:35:38.867251,168.52
2026-06-18 11:35:38.867251,303.99
2026-06-18 11:35:38.883944,434.8
2026-06-18 11:35:38.883944,525.16
2026-06-18 11:35:38.899697,573.28
2026-06-18 11:35:38.901026,659.97
2026-06-18 11:35:38.915639,808.9
2026-06-18 11:35:38.916650,941.17
2026-06-18 11:35:38.931330,979.25
2026-06-18 11:35:38.937853,993.26
2026-06-18 11:35:38.945830,1075.85
2026-06-18 11:35:38.950135,1161.02
2026-06-18 11:35:38.950135,1197.0
2026-06-18 11:35:38.966969,1235.79
2026-06-18 11:35:38.966969,1280.36
2026-06-18 11:35:38.983931,1302.81
2026-06-18 11:35:38.983931,1251.52
2026-06-18 11:35:39.000668,1158.7
2026-06-18 11:35:39.000668,1088.23
2026-06-18 11:35:39.016908,1038.02
2026-06-18 11:35:39.022285,1018.9
